,EXP1,EXP2,EXP3,EXP4
0,0.0,0.0,0.0,0.0
1,9.0619,9.2586,7.857099999999999,9.2459
2,17.9846,18.6404,15.797599999999996,18.7399
3,27.047400000000003,28.104499999999994,23.7459,28.1571
4,36.158500000000004,37.272999999999996,31.7235,37.4867
5,45.550200000000004,46.8551,39.733399999999996,46.8735
6,54.9606,56.1074,47.8572,56.3273
